t [s]	T [K]	Abs [-]
23.0303	323.1500	1.6871
23.3333	323.1500	1.6875
23.6364	323.1500	1.6880
23.9394	323.1500	1.6884
24.2424	323.1500	1.6888
24.5455	323.1500	1.6892
24.8485	323.1500	1.6896
25.1515	323.1500	1.6900
25.4545	323.1500	1.6904
25.7576	323.1500	1.6908
26.0606	323.1500	1.6912
26.3636	323.1500	1.6916
26.6667	323.1500	1.6920
26.9697	323.1500	1.6924
27.2727	323.1500	1.6928
27.5758	323.1500	1.6932
27.8788	323.1500	1.6936
28.1818	323.1500	1.6940
28.4848	323.1500	1.6944
28.7879	323.1500	1.6948
29.0909	323.1500	1.6952
29.3939	323.1500	1.6956
29.6970	323.1500	1.6960
30.0000	323.1500	1.6964
0.0000	343.1500	1.6555
0.3030	343.1500	1.6570
0.6061	343.1500	1.6585
0.9091	343.1500	1.6600
1.2121	343.1500	1.6614
1.5152	343.1500	1.6629
1.8182	343.1500	1.6644
2.1212	343.1500	1.6659
2.4242	343.1500	1.6674
2.7273	343.1500	1.6689
3.0303	343.1500	1.6703
3.3333	343.1500	1.6718
3.6364	343.1500	1.6733
3.9394	343.1500	1.6747
4.2424	343.1500	1.6762
4.5455	343.1500	1.6776
4.8485	343.1500	1.6791
5.1515	343.1500	1.6805
5.4545	343.1500	1.6820
5.7576	343.1500	1.6834
6.0606	343.1500	1.6849
6.3636	343.1500	1.6863
6.6667	343.1500	1.6877
6.9697	343.1500	1.6892
7.2727	343.1500	1.6906
7.5758	343.1500	1.6920
7.8788	343.1500	1.6934
8.1818	343.1500	1.6949
8.4848	343.1500	1.6963
8.7879	343.1500	1.6977
9.0909	343.1500	1.6991
9.3939	343.1500	1.7005
9.6970	343.1500	1.7019
10.0000	343.1500	1.7033
10.3030	343.1500	1.7047
10.6061	343.1500	1.7061
10.9091	343.1500	1.7075
11.2121	343.1500	1.7089
11.5152	343.1500	1.7102
11.8182	343.1500	1.7116
12.1212	343.1500	1.7130
12.4242	343.1500	1.7144
12.7273	343.1500	1.7157
13.0303	343.1500	1.7171
13.3333	343.1500	1.7185
13.6364	343.1500	1.7198
13.9394	343.1500	1.7212
14.2424	343.1500	1.7225
14.5455	343.1500	1.7239
14.8485	343.1500	1.7252
15.1515	343.1500	1.7266
15.4545	343.1500	1.7279
15.7576	343.1500	1.7293
16.0606	343.1500	1.7306
16.3636	343.1500	1.7319
16.6667	343.1500	1.7332
16.9697	343.1500	1.7346
17.2727	343.1500	1.7359
17.5758	343.1500	1.7372
17.8788	343.1500	1.7385
18.1818	343.1500	1.7398
18.4848	343.1500	1.7411
18.7879	343.1500	1.7424
19.0909	343.1500	1.7437
19.3939	343.1500	1.7450
19.6970	343.1500	1.7463
20.0000	343.1500	1.7476
20.3030	343.1500	1.7489
20.6061	343.1500	1.7502
20.9091	343.1500	1.7515
21.2121	343.1500	1.7528
21.5152	343.1500	1.7540
21.8182	343.1500	1.7553
22.1212	343.1500	1.7566
22.4242	343.1500	1.7578
22.7273	343.1500	1.7591
23.0303	343.1500	1.7604
23.3333	343.1500	1.7616
23.6364	343.1500	1.7629
23.9394	343.1500	1.7641
24.2424	343.1500	1.7654
24.5455	343.1500	1.7666
24.8485	343.1500	1.7678
25.1515	343.1500	1.7691
25.4545	343.1500	1.7703
25.7576	343.1500	1.7715
26.0606	343.1500	1.7728
26.3636	343.1500	1.7740
26.6667	343.1500	1.7752
26.9697	343.1500	1.7764
27.2727	343.1500	1.7776
27.5758	343.1500	1.7788
27.8788	343.1500	1.7800
28.1818	343.1500	1.7812
28.4848	343.1500	1.7824
28.7879	343.1500	1.7836
29.0909	343.1500	1.7848
29.3939	343.1500	1.7860
29.6970	343.1500	1.7872
30.0000	343.1500	1.7884
0.0000	363.1500	1.6555
0.3030	363.1500	1.6601
0.6061	363.1500	1.6646
0.9091	363.1500	1.6691
1.2121	363.1500	1.6736
1.5152	363.1500	1.6781
1.8182	363.1500	1.6826
2.1212	363.1500	1.6870
2.4242	363.1500	1.6913
2.7273	363.1500	1.6957
3.0303	363.1500	1.7000
3.3333	363.1500	1.7043
3.6364	363.1500	1.7086
3.9394	363.1500	1.7128
4.2424	363.1500	1.7170
4.5455	363.1500	1.7212
4.8485	363.1500	1.7253
5.1515	363.1500	1.7294
5.4545	363.1500	1.7335
5.7576	363.1500	1.7375
6.0606	363.1500	1.7415
6.3636	363.1500	1.7455
6.6667	363.1500	1.7495
6.9697	363.1500	1.7534
7.2727	363.1500	1.7573
7.5758	363.1500	1.7612
7.8788	363.1500	1.7650
8.1818	363.1500	1.7688
8.4848	363.1500	1.7726
8.7879	363.1500	1.7763
9.0909	363.1500	1.7800
9.3939	363.1500	1.7837
9.6970	363.1500	1.7873
10.0000	363.1500	1.7909
10.3030	363.1500	1.7945
10.6061	363.1500	1.7980
10.9091	363.1500	1.8016
11.2121	363.1500	1.8051
11.5152	363.1500	1.8085
11.8182	363.1500	1.8119
12.1212	363.1500	1.8153
12.4242	363.1500	1.8187
12.7273	363.1500	1.8220
13.0303	363.1500	1.8253
13.3333	363.1500	1.8286
13.6364	363.1500	1.8318
13.9394	363.1500	1.8350
14.2424	363.1500	1.8382
14.5455	363.1500	1.8413
14.8485	363.1500	1.8444
15.1515	363.1500	1.8475
15.4545	363.1500	1.8506
15.7576	363.1500	1.8536
16.0606	363.1500	1.8566
16.3636	363.1500	1.8595
16.6667	363.1500	1.8625
16.9697	363.1500	1.8654
17.2727	363.1500	1.8682
17.5758	363.1500	1.8711
17.8788	363.1500	1.8739
18.1818	363.1500	1.8766
18.4848	363.1500	1.8794
18.7879	363.1500	1.8821
19.0909	363.1500	1.8848
19.3939	363.1500	1.8874
19.6970	363.1500	1.8900
20.0000	363.1500	1.8926
20.3030	363.1500	1.8952
20.6061	363.1500	1.8977
20.9091	363.1500	1.9002
21.2121	363.1500	1.9027
21.5152	363.1500	1.9051
21.8182	363.1500	1.9076
22.1212	363.1500	1.9099
22.4242	363.1500	1.9123
22.7273	363.1500	1.9146
23.0303	363.1500	1.9169
23.3333	363.1500	1.9192
23.6364	363.1500	1.9214
23.9394	363.1500	1.9236
24.2424	363.1500	1.9258
24.5455	363.1500	1.9280
24.8485	363.1500	1.9301
25.1515	363.1500	1.9322
25.4545	363.1500	1.9342
25.7576	363.1500	1.9363
26.0606	363.1500	1.9383
26.3636	363.1500	1.9403
26.6667	363.1500	1.9422
26.9697	363.1500	1.9442
27.2727	363.1500	1.9461
27.5758	363.1500	1.9479
27.8788	363.1500	1.9498
28.1818	363.1500	1.9516
28.4848	363.1500	1.9534
28.7879	363.1500	1.9552
29.0909	363.1500	1.9569
29.3939	363.1500	1.9586
29.6970	363.1500	1.9603
30.0000	363.1500	1.9620
0.0000	373.1500	1.6555
0.3030	373.1500	1.6631
0.6061	373.1500	1.6707
0.9091	373.1500	1.6782
1.2121	373.1500	1.6856
1.5152	373.1500	1.6930
1.8182	373.1500	1.7002
2.1212	373.1500	1.7074
2.4242	373.1500	1.7144
2.7273	373.1500	1.7214
3.0303	373.1500	1.7283
3.3333	373.1500	1.7352
3.6364	373.1500	1.7419
3.9394	373.1500	1.7485
4.2424	373.1500	1.7551
4.5455	373.1500	1.7616
4.8485	373.1500	1.7680
5.1515	373.1500	1.7743
5.4545	373.1500	1.7805
5.7576	373.1500	1.7866
6.0606	373.1500	1.7926
6.3636	373.1500	1.7986
6.6667	373.1500	1.8044
6.9697	373.1500	1.8102
7.2727	373.1500	1.8159
7.5758	373.1500	1.8215
7.8788	373.1500	1.8270
8.1818	373.1500	1.8324
8.4848	373.1500	1.8378
8.7879	373.1500	1.8430
9.0909	373.1500	1.8482
9.3939	373.1500	1.8533
9.6970	373.1500	1.8582
10.0000	373.1500	1.8631
10.3030	373.1500	1.8680
10.6061	373.1500	1.8727
10.9091	373.1500	1.8773
11.2121	373.1500	1.8819
11.5152	373.1500	1.8864
11.8182	373.1500	1.8908
12.1212	373.1500	1.8951
12.4242	373.1500	1.8993
12.7273	373.1500	1.9034
13.0303	373.1500	1.9075
13.3333	373.1500	1.9115
13.6364	373.1500	1.9154
13.9394	373.1500	1.9192
14.2424	373.1500	1.9229
14.5455	373.1500	1.9265
14.8485	373.1500	1.9301
15.1515	373.1500	1.9336
15.4545	373.1500	1.9370
15.7576	373.1500	1.9403
16.0606	373.1500	1.9436
16.3636	373.1500	1.9468
16.6667	373.1500	1.9499
16.9697	373.1500	1.9529
17.2727	373.1500	1.9559
17.5758	373.1500	1.9587
17.8788	373.1500	1.9615
18.1818	373.1500	1.9643
18.4848	373.1500	1.9669
18.7879	373.1500	1.9695
19.0909	373.1500	1.9721
19.3939	373.1500	1.9745
19.6970	373.1500	1.9769
20.0000	373.1500	1.9792
20.3030	373.1500	1.9814
20.6061	373.1500	1.9836
20.9091	373.1500	1.9857
21.2121	373.1500	1.9878
21.5152	373.1500	1.9898
21.8182	373.1500	1.9917
22.1212	373.1500	1.9936
22.4242	373.1500	1.9954
22.7273	373.1500	1.9971
23.0303	373.1500	1.9988
23.3333	373.1500	2.0004
23.6364	373.1500	2.0020
23.9394	373.1500	2.0035
24.2424	373.1500	2.0049
24.5455	373.1500	2.0063
24.8485	373.1500	2.0077
25.1515	373.1500	2.0089
25.4545	373.1500	2.0102
25.7576	373.1500	2.0114
26.0606	373.1500	2.0125
26.3636	373.1500	2.0136
26.6667	373.1500	2.0146
26.9697	373.1500	2.0156
27.2727	373.1500	2.0166
27.5758	373.1500	2.0175
27.8788	373.1500	2.0183
28.1818	373.1500	2.0192
28.4848	373.1500	2.0199
28.7879	373.1500	2.0207
29.0909	373.1500	2.0214
29.3939	373.1500	2.0220
29.6970	373.1500	2.0227
30.0000	373.1500	2.0232
